symbol,shareholders,directors,commissioners
CBDK.JK,"[{""name"":""Pt Agung Sedayu"",""type"":""More Than 5%"",""share_amount"":1250000000,""share_percentage"":22.05},{""name"":""Pt Pantai Indah Kapuk Dua Tbk"",""type"":""More Than 5%"",""share_amount"":2602050000,""share_percentage"":45.9},{""name"":""Pt Tunas Mekar Jaya"",""type"":""More Than 5%"",""share_amount"":1250000000,""share_percentage"":22.05},{""name"":""Public"",""type"":""More Than 5%"",""share_amount"":566894500,""share_percentage"":10.0}]","[{""name"":""Steven Kusumo"",""position"":""President Director"",""affiliation"":false},{""name"":""Ipeng Widjoyo"",""position"":""Vice Presiden Director"",""affiliation"":false},{""name"":""Linda Kusumo"",""position"":""Director"",""affiliation"":false},{""name"":""Markus Kusumaputra"",""position"":""Director"",""affiliation"":false},{""name"":""Yohanes Edmond Budiman"",""position"":""Director"",""affiliation"":false},{""name"":""Arthur Salim"",""position"":""Director"",""affiliation"":false},{""name"":""Christina Widjaja"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Richard Halim Kusuma"",""position"":""President Commisioner"",""independent"":false},{""name"":""Phiong Phillipus Darma"",""position"":""Commissioner"",""independent"":false},{""name"":""Hardjo Subroto Lilik"",""position"":""Commissioner"",""independent"":true}]"
TFAS.JK,"[{""name"":""Bank Of Singapore Limited"",""type"":""More Than 5%"",""share_amount"":101264500,""share_percentage"":6.08},{""name"":""Pt Distribusi Voucher Nusantara Tbk"",""type"":""More Than 5%"",""share_amount"":271039200,""share_percentage"":16.26},{""name"":""Pt M Cash Integrasi Tbk"",""type"":""More Than 5%"",""share_amount"":699093200,""share_percentage"":41.95},{""name"":""Pt Telefast Investama Indonesia"",""type"":""More Than 5%"",""share_amount"":152862400,""share_percentage"":9.17},{""name"":""Public"",""type"":""More Than 5%"",""share_amount"":432557600,""share_percentage"":25.95},{""name"":""Treasury Stock"",""type"":""More Than 5%"",""share_amount"":9849600,""share_percentage"":0.59}]","[{""name"":""Setiawan Parikesit Kencana"",""position"":""President Director"",""affiliation"":false},{""name"":""Tati Ramawati"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Ivan Ekancono"",""position"":""President Commisioner"",""independent"":false},{""name"":""Sri Haryatno"",""position"":""Commissioner"",""independent"":true}]"
JAWA.JK,"[{""name"":""Pt Sarana Agro Investama"",""type"":""More Than 5%"",""share_amount"":15015345027,""share_percentage"":92.5},{""name"":""Public"",""type"":""More Than 5%"",""share_amount"":1217606815,""share_percentage"":7.499}]","[{""name"":""Harijadi Soedarjo"",""position"":""President Director"",""affiliation"":false},{""name"":""Harli Wijayadi"",""position"":""Director"",""affiliation"":false},{""name"":""Ryan Nurfitriandy"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Rohadi"",""position"":""President Commisioner"",""independent"":false},{""name"":""Muhadi"",""position"":""Commissioner"",""independent"":false},{""name"":""Connie Teresianti H"",""position"":""Commissioner"",""independent"":true}]"
JMAS.JK,"[{""name"":""Koperasi Simpan Pinjam Jasa"",""type"":""More Than 5%"",""share_amount"":579500000,""share_percentage"":57.95},{""name"":""Public"",""type"":""More Than 5%"",""share_amount"":420500000,""share_percentage"":42.05}]","[{""name"":""Basuki Agus"",""position"":""President Director"",""affiliation"":false},{""name"":""Aji Darmaji"",""position"":""Director"",""affiliation"":false},{""name"":""Gus Imron Gunasendjaja"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Ahmad Nugraha"",""position"":""Commissioner"",""independent"":true},{""name"":""Dhimas Achmad Sidharta"",""position"":""Commissioner"",""independent"":true},{""name"":""H. M. Andy Arslan Djunaid"",""position"":""President Commisioner"",""independent"":false}]"
MDLN.JK,"[{""name"":""Cgs-Cimb Securities (Singapore) Pte Ltd A\/C Client - Woodside Global Ventures Inc"",""type"":""More Than 5%"",""share_amount"":825600100,""share_percentage"":6.59},{""name"":""Haiyanto"",""type"":""More Than 5%"",""share_amount"":1226696800,""share_percentage"":9.79},{""name"":""Panin Sekuritas, Pt"",""type"":""More Than 5%"",""share_amount"":1916346668,""share_percentage"":15.29},{""name"":""Pt Honoris Corporindo Pratama"",""type"":""More Than 5%"",""share_amount"":1704064426,""share_percentage"":13.59},{""name"":""Public"",""type"":""More Than 5%"",""share_amount"":5342092707,""share_percentage"":42.63},{""name"":""Treasury Stock"",""type"":""More Than 5%"",""share_amount"":585750900,""share_percentage"":4.67},{""name"":""Ubs Ag Sg Branch Trust A\/C Aa Land Pte Ltd -2023904170"",""type"":""More Than 5%"",""share_amount"":932515721,""share_percentage"":7.44}]","[{""name"":""William Honoris"",""position"":""President Director"",""affiliation"":false},{""name"":""Dharma Mitra"",""position"":""Director"",""affiliation"":false},{""name"":""Herman"",""position"":""Director"",""affiliation"":false},{""name"":""Fetrizal Bobby Heryunda"",""position"":""Director"",""affiliation"":false},{""name"":""Pascall Wilson"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Luntungan Honoris"",""position"":""President Commisioner"",""independent"":false},{""name"":""Iwan Suryawijaya"",""position"":""Commissioner"",""independent"":true},{""name"":""Edwyn Lim"",""position"":""Commissioner"",""independent"":false},{""name"":""Nita Natawijaya"",""position"":""Commissioner"",""independent"":true},{""name"":""Dwi Priyatno"",""position"":""Commissioner"",""independent"":false}]"
BLUE.JK,"[{""name"":""Cetak Biru Kapital"",""type"":""More Than 5%"",""share_amount"":117943900,""share_percentage"":28.22},{""name"":""Fajar Tasrif"",""type"":""More Than 5%"",""share_amount"":42500000,""share_percentage"":10.17},{""name"":""Herman Tansri"",""type"":""President Director"",""share_amount"":102500000,""share_percentage"":24.52},{""name"":""Public"",""type"":""More Than 5%"",""share_amount"":50056100,""share_percentage"":11.97},{""name"":""Rudy Tasrif"",""type"":""President Commisioner"",""share_amount"":30000000,""share_percentage"":7.18},{""name"":""Siek Agung Guntoro"",""type"":""Commissioner"",""share_amount"":75000000,""share_percentage"":17.94}]","[{""name"":""Herman Tansri"",""position"":""President Director"",""affiliation"":false},{""name"":""Fadjar Tasrif"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Rudy Tasrif"",""position"":""President Commisioner"",""independent"":false},{""name"":""Siek Agung Guntoro"",""position"":""Commissioner"",""independent"":false},{""name"":""Noviyanti Indah Kardiman"",""position"":""Commissioner"",""independent"":true}]"
SMMT.JK,"[{""name"":""Pt Geo Energy Lnvestama"",""type"":""More Than 5%"",""share_amount"":2303030067,""share_percentage"":73.11},{""name"":""Pt Golden Prima Energy"",""type"":""More Than 5%"",""share_amount"":724500000,""share_percentage"":23.0},{""name"":""Public"",""type"":""More Than 5%More Than 5%"",""share_amount"":122469933,""share_percentage"":3.89}]","[{""name"":""Huang She Thong"",""position"":""President Director"",""affiliation"":false},{""name"":""Ng See Yong"",""position"":""Director"",""affiliation"":false},{""name"":""Yuliana"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Budi Susanto"",""position"":""President Commisioner"",""independent"":false},{""name"":""Yanto Melati"",""position"":""Commissioner"",""independent"":false},{""name"":""Ong Beng Chye"",""position"":""Commissioner"",""independent"":true}]"
CBRE.JK,"[{""name"":""Bes Trust Pte. Ltd"",""type"":""More Than 5%"",""share_amount"":342000000,""share_percentage"":7.54},{""name"":""Pt Omudas Investment Holdco"",""type"":""More Than 5%"",""share_amount"":2774000000,""share_percentage"":61.13},{""name"":""Pt Republik Capital Indonesia"",""type"":""More Than 5%"",""share_amount"":513000000,""share_percentage"":11.3},{""name"":""Public"",""type"":""More Than 5%"",""share_amount"":909067441,""share_percentage"":20.03}]","[{""name"":""Suminto Husin Giman"",""position"":""President Director"",""affiliation"":false},{""name"":""Amanda Octania"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Suganto Gunawan"",""position"":""President Commisioner"",""independent"":false},{""name"":""Suwito"",""position"":""Commissioner"",""independent"":false},{""name"":""Rivolinggo Pamudji"",""position"":""Commissioner"",""independent"":true},{""name"":""H. R. Agung Laksono"",""position"":""Commissioner"",""independent"":false},{""name"":""George Samuel"",""position"":""Commissioner"",""independent"":true}]"
BIPI.JK,"[{""name"":""Cgs-Cimb Securities (Singapore) Pte Ltd A-C Morgan Stanley (Odd Lots)"",""type"":""More Than 5%"",""share_amount"":11532647666,""share_percentage"":18.1},{""name"":""Michael Wong"",""type"":""More Than 5%"",""share_amount"":34039700,""share_percentage"":0.05},{""name"":""Pt Indotambang Perkasa"",""type"":""More Than 5%"",""share_amount"":12352555813,""share_percentage"":19.39},{""name"":""Pt Kb Valbury Sekuritas"",""type"":""More Than 5%"",""share_amount"":3230000000,""share_percentage"":5.07},{""name"":""Public"",""type"":""More Than 5%"",""share_amount"":36560953738,""share_percentage"":57.39}]","[{""name"":""Raymond Anthony Gerungan"",""position"":""President Director"",""affiliation"":false},{""name"":""Wong Michael"",""position"":""Director"",""affiliation"":false},{""name"":""Ferdy Yustianto"",""position"":""Director"",""affiliation"":false},{""name"":""Andreas Kastono Ahadi"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Drs. Hermawan Chandra"",""position"":""Commissioner"",""independent"":true},{""name"":""Achmad Widjaja"",""position"":""President Commisioner"",""independent"":true},{""name"":""Andi Ariefandra Putra Jakile"",""position"":""Commissioner"",""independent"":false}]"
ZBRA.JK,"[{""name"":""Mkes-Client Repo"",""type"":""More Than 5%"",""share_amount"":387706600,""share_percentage"":15.44},{""name"":""Pt Trinity Healthcare"",""type"":""More Than 5%"",""share_amount"":1556871192,""share_percentage"":62.01},{""name"":""Public"",""type"":""More Than 5%"",""share_amount"":566128471,""share_percentage"":22.55}]","[{""name"":""B. Rudijanto Tanoesoedibjo"",""position"":""President Director"",""affiliation"":false},{""name"":""Salvona Tumonggor Situmeang"",""position"":""Director"",""affiliation"":false},{""name"":""Gary Judianto Tanoesoedibjo"",""position"":""Director"",""affiliation"":false}]","[{""name"":""Dwi Priyatno"",""position"":""President Commisioner"",""independent"":false},{""name"":""Juliati Hadi"",""position"":""Commissioner"",""independent"":false},{""name"":""Yohanes Agus Mulyono"",""position"":""Commissioner"",""independent"":true}]"
